"Type";"Year";"DensityMass";"DensityMassLow";"DensityMassHigh";"DensityNumbers";"DensityNumbersLow";"DensityNumbersHigh";"DensityProb";"DensityProbLow";"DensityProbHigh"
"Glass";"2012";0,96737607482311;0,817224926236499;1,48974762664284;3,35616385820158;2,75132510750597;5,38849081039648;0,160753434355769;0,135474294813435;0,205324218810945
"Glass";"2013";0,976021796695492;0,822566962029253;1,48285658994578;3,4044530720055;2,8153631048053;5,57080328505618;0,162199492969057;0,136607924203123;0,206158257856194
"Glass";"2014";0,993826300613764;0,86110397745154;1,4625920120897;3,28266926945712;2,72878927293933;5,03952223989294;0,15852748201068;0,135405456704808;0,199389700211007
"Glass";"2015";0,983914756822935;0,861593739833261;1,42158394411685;3,02514720154648;2,5609156327157;4,67431782900654;0,150477088227072;0,128060708866076;0,189339914966959
"Glass";"2016";0,96883322175338;0,835300212052978;1,42491301219105;2,85521591239278;2,47649223725646;4,34891234226065;0,144936891514358;0,12562977749973;0,179524404309913
"Glass";"2017";0,948032475285118;0,833471992713445;1,3863254820378;2,80126367896572;2,42590645958564;4,23535945811789;0,143137508440806;0,124508740285545;0,178792396309393
"Glass";"2018";0,91639205552262;0,788714608999363;1,35073886099107;2,7644875596852;2,42010649755047;4,21969345953111;0,141899408570313;0,123597722051374;0,176334756457697
"Glass";"2019";0,888607469966845;0,768746581949848;1,28990056854309;2,6682422555219;2,37058293823137;4,07779913193228;0,138613675456136;0,123318619956198;0,171214833768021
"Glass";"2020";0,867480358747332;0,72962411959998;1,29337758899851;2,67753705436954;2,33177846946521;3,94791203491606;0,13893391824983;0,122053459367027;0,171464986192337
"Glass";"2021";0,864760460965842;0,71666321218958;1,28930426991707;2,77674809168304;2,29697658462816;4,31131328804423;0,142313223151532;0,120464760047456;0,18109901331111
"Metal";"2012";0,87931794839544;0,628643966686585;1,80684212631666;3,47467694229454;2,38331770071249;5,58739803502205;0,19477486308793;0,146955836636999;0,257854167369858
"Metal";"2013";0,930255018879962;0,716216269510102;1,71265428867909;3,52035899795546;2,735382918824;5,42612231595971;0,196510093282174;0,160903282638785;0,253559047836317
"Metal";"2014";1,03600076800385;0,810867082330352;1,8124449091906;4,22350087314729;3,33616430074653;6,20907717466414;0,221666902777378;0,182809012727909;0,272751801833766
"Metal";"2015";1,09372302123797;0,888567619002136;1,91595246511477;4,49139119363833;3,55866197568709;6,43590037339487;0,230554688297592;0,195226495865143;0,278470895294612
"Metal";"2016";1,23003263023249;1,04405035456127;2,12053951294353;5,09069423862515;4,22696866230803;7,07559936738744;0,249229121540526;0,215512088058544;0,29455283271317
"Metal";"2017";1,50581416161048;1,24327273268106;2,66050135882677;4,3547837180968;3,69281038030135;6,04416583546872;0,226066892833093;0,198689066364395;0,268126772265823
"Metal";"2018";1,5632672466197;1,28883947224165;2,67584570727473;3,79916910575442;3,18221474310548;5,33738065799387;0,206823078113206;0,180383704582221;0,248967727480341
"Metal";"2019";1,54332450259541;1,2951391527129;2,76218816860677;3,74221815240785;3,15547387444014;5,02508600390048;0,204754259618063;0,177987696226683;0,243793266118649
"Metal";"2020";1,6514856308325;1,41099296360112;2,89282518438179;4,36044494965593;3,6214010663172;6,02237031216245;0,22625468812875;0,195108900160942;0,268352820836181
"Metal";"2021";1,78215064141487;1,41273005109381;3,24405844435106;5,33482174275122;4,30955222749745;7,60320498647165;0,256400333620002;0,219457518516382;0,305906845726897
"Natural";"2012";7,51042128009339;4,74210645821659;15,4331237132858;28,6070527360817;18,3188442355063;51,6494881403612;0,387792921117779;0,321748983346521;0,461721415398815
"Natural";"2013";11,8912711819895;8,98363601469246;19,6357459616814;30,2296609040003;22,7341243517078;44,8718027979525;0,39498582854683;0,350538583342246;0,444235349276771
"Natural";"2014";19,0610085398603;14,0270230614052;31,8115307645836;44,235077370513;32,8475638392058;68,4121969712318;0,444449725808621;0,394484117938761;0,494500736539154
"Natural";"2015";9,03538165321124;6,6944417861969;14,7893519650983;30,1935686341742;22,2516026296929;47,771242849793;0,394830061106169;0,347108265998307;0,447063635815677
"Natural";"2016";3,4398121264219;2,55139981013941;5,75052502332728;18,7532964543567;14,7689175350844;27,3927852462442;0,333099288810227;0,297410132094487;0,3758585585288
"Natural";"2017";2,53527626743775;1,91772798902185;4,13984494592831;9,57237327859504;7,37823821866598;14,196430894699;0,25013790620112;0,218130219860299;0,289522719784216
"Natural";"2018";5,42102651669112;4,11192755968025;8,85545815767182;13,1010945682304;10,2181205369044;19,4866600804128;0,287932845112048;0,255275686782424;0,328737533374275
"Natural";"2019";7,15766253430042;5,63472530376632;11,1436987594973;15,1966797574023;12,248896660184;21,7967696345107;0,306408818740542;0,276735952631367;0,342605676726916
